trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,4,1,4,right,0.3566371000051731,0,0,0,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
1,0,1,0,1,4,1,1,left,0.8307038000057219,100,-100,0,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
2,0,2,0,1,4,0,2,right,0.2835555000056047,100,0,100,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
3,0,3,0,2,5,1,4,right,0.14390900000580586,100,-100,100,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
4,0,4,0,5,1,1,4,left,0.3376725000125589,0,0,100,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
5,0,5,0,2,5,0,2,left,0.06830379999883007,100,0,200,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
6,0,6,0,5,1,0,5,right,0.14650920001440682,400,0,600,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
7,0,7,0,2,5,1,3,right,0.2636278999998467,200,0,800,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
8,0,8,0,5,1,0,2,right,0.14544170000590384,200,0,1000,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
9,0,9,0,2,5,0,4,left,0.13449289998970926,300,0,1300,6_33,001,2022-04-21_18h33.54.449,Patch_Foraging_19_12_30am,2022.1.2,59.998260049432986,
