trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,5,1,2,right,0.05794130000867881,0,-100,-100,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
1,0,1,0,1,4,1,3,right,0.6232919000030961,0,0,-100,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
2,0,2,0,5,1,0,4,right,0.21771549999539275,300,0,200,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
3,0,3,0,1,4,1,3,right,0.1625239999993937,100,-100,200,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
4,0,4,0,1,4,1,4,right,0.24912949999270495,0,-100,100,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
5,0,5,0,1,4,0,2,left,0.3106870999909006,200,0,300,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
6,0,6,0,5,1,1,1,left,0.041130099998554215,0,-100,200,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
7,0,7,0,2,5,0,4,left,0.21432159999676514,200,0,400,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
8,0,8,0,1,4,0,3,left,2.580835599990678,300,0,700,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
9,0,9,0,2,5,1,2,right,0.6658988999988651,0,-100,600,p3,001,2022-04-21_18h41.27.707,Patch_Foraging_19_12_30am,2022.1.2,59.997648091747834,
